incident_id,date_int,latitude,longitude,snapshot_quarter,in_corridor,severity_economic_usd
185,20000817,3.7836667,98.7007,200003,1,0.0
186,20000824,1.7783333,102.4567,200003,1,0.0
187,20000824,1.75,102.5333,200003,1,0.0
188,20000826,2.0583333,102.1433,200003,1,0.0
189,20000827,5.42,100.3517,200003,1,0.0
190,20000828,1.9116667,102.315,200003,1,0.0
191,20000830,2.5,101.6,200003,1,0.0
192,20000830,3.7836667,98.7007,200003,1,0.0
193,20000831,1.7,102.6,200003,1,0.0
194,20000901,5.3863333,100.365,200003,1,0.0
195,20000901,12.6,46.3833,200003,1,0.0
196,20000915,1.7666667,102.4833,200003,1,0.0
197,20000921,1.7666667,102.5,200003,1,0.0
198,20000921,2.0,102.1833,200003,1,0.0
199,20000921,1.6383333,102.8333,200003,1,0.0
200,20000921,4.9173,99.2682,200003,1,0.0
201,20000922,1.8583333,102.3333,200003,1,0.0
202,20000922,1.8166667,102.3667,200003,1,0.0
203,20000926,1.9333333,102.2833,200003,1,0.0
204,20000926,1.7833333,102.6167,200003,1,0.0
205,20000929,1.9116667,102.2233,200003,1,0.0
206,20001001,1.2191667,103.5732,200004,1,0.0
207,20001001,1.92,102.375,200004,1,0.0
208,20001001,1.6855,101.4547,200004,1,0.0
209,20001002,2.36,101.6833,200004,1,0.0
210,20001003,1.9583333,102.25,200004,1,0.0
211,20001006,1.75,102.5167,200004,1,0.0
212,20001007,14.644,43.0653,200004,1,0.0
213,20001012,14.1466667,42.7883,200004,1,0.0
214,20001012,12.6,43.3217,200004,1,0.0
215,20001012,12.7906667,44.9893,200004,1,0.0
216,20001021,1.1983333,103.8572,200004,1,0.0
217,20001023,13.3333333,42.9667,200004,1,0.0
218,20001025,12.7166667,43.2833,200004,1,0.0
219,20001026,1.45,103.1833,200004,1,0.0
220,20001026,1.7166667,102.7667,200004,1,0.0
221,20001103,4.0666667,99.4167,200004,1,0.0
222,20001105,1.765,102.5333,200004,1,0.0
223,20001105,1.825,102.3867,200004,1,0.0
224,20001106,1.9416667,102.3167,200004,1,0.0
225,20001109,1.7666667,102.45,200004,1,0.0
226,20001116,1.1,102.15,200004,1,0.0
227,20001120,1.7403333,102.5292,200004,1,0.0
228,20001125,23.0583333,56.465,200004,1,0.0
229,20001126,12.2833333,44.8667,200004,1,0.0
230,20001130,1.7,102.5667,200004,1,0.0
231,20001208,1.9,102.3667,200004,1,0.0
232,20001208,1.7751667,102.6228,200004,1,0.0
233,20001210,1.1095,103.4762,200004,1,0.0
234,20001210,12.2833333,45.0667,200004,1,0.0
235,20001211,12.8516667,46.0367,200004,1,0.0
236,20001213,1.9666667,102.2333,200004,1,0.0
237,20001214,1.7666667,102.4667,200004,1,0.0
238,20001220,1.2633333,103.3217,200004,1,0.0
239,20001223,1.8666667,102.3,200004,1,0.0
240,20001224,1.255,103.34,200004,1,0.0
241,20001224,1.3033333,103.3567,200004,1,0.0
242,20001230,1.3166667,102.53,200004,1,0.0
243,20001230,1.2933333,103.37,200004,1,0.0
244,20010110,3.7766667,98.6767,200101,1,0.0
245,20010123,1.265,103.4017,200101,1,0.0
246,20010126,1.2,103.3833,200101,1,0.0
247,20010127,3.7853333,98.6997,200101,1,0.0
248,20010130,1.3166667,103.3167,200101,1,0.0
249,20010202,1.3466667,103.2983,200101,1,0.0
250,20010202,1.3533333,103.28,200101,1,0.0
251,20010203,12.5716667,43.3833,200101,1,0.0
252,20010215,2.8166667,101.0567,200101,1,0.0
253,20010222,13.4966667,43.0167,200101,1,0.0
254,20010223,13.7833333,48.2,200101,1,0.0
255,20010319,1.3833333,103.25,200101,1,0.0
256,20010330,2.7833333,101.0,200101,1,0.0
257,20010402,12.5833333,47.7833,200102,1,0.0
258,20010405,1.6,102.8167,200102,1,0.0
259,20010412,12.9166667,48.3333,200102,1,0.0
260,20010425,4.223,98.3642,200102,1,0.0
261,20010505,6.2837,102.0359,200102,1,0.0
262,20010509,5.4166667,100.3432,200102,1,0.0
263,20010512,3.7766667,98.6767,200102,1,0.0
264,20010522,27.2265,34.8265,200102,1,0.0
265,20010523,3.7766667,98.6767,200102,1,0.0
266,20010524,3.7766667,98.6767,200102,1,0.0
267,20010526,29.9666667,32.5432,200102,1,0.0
268,20010601,3.7766667,98.6767,200102,1,0.0
