conflict_id,country_code,latitude,longitude,date_start,fatalities,event_type_code,snapshot_quarter,in_corridor
284324,651,29.876944,32.658333,20190412,4,1,201902,1
394376,651,29.9,33.7,20190703,2,1,201903,1
330129,651,29.9,33.7,20190928,27,1,201903,1
340178,651,29.5,34.0,20200101,71,1,202001,1
374310,651,29.5,34.0,20200901,38,1,202003,1
381342,651,29.9,33.7,20200923,1,1,202003,1
381629,651,28.236381,33.625404,20201123,0,1,202004,1
396473,651,29.9,33.7,20210402,1,1,202102,1
423608,651,29.0,33.8,20211115,0,1,202104,1
425883,651,29.9,33.7,20211201,2,1,202104,1
425879,651,29.9,33.7,20211204,0,1,202104,1
425887,651,29.5,34.0,20211205,1,1,202104,1
430790,651,29.9,33.7,20220204,1,1,202201,1
430791,651,29.5,34.0,20220211,8,1,202201,1
434960,651,29.5,34.0,20220325,1,1,202201,1
466794,651,28.555556,33.976111,20230227,1,1,202301,1
455351,531,14.7275,37.803055,20220113,1,1,202201,1
455864,531,14.7275,37.803055,20220306,1,1,202201,1
440161,531,14.7275,37.803055,20220508,1,1,202202,1
457679,531,14.7275,37.803055,20220510,1,1,202202,1
24752,531,15.449444,36.647778,19931216,21,1,199304,1
24799,531,15.113889,37.592778,19960318,2,1,199601,1
24754,531,16.27,38.4,19961201,12,1,199604,1
24743,531,15.0,39.0,19970101,0,1,199701,1
24763,531,15.449444,36.647778,19970101,2,1,199701,1
20221,531,15.0,39.0,19970101,0,1,199701,1
20971,531,15.0,39.0,19970101,1,1,199701,1
20972,531,15.879722,38.026389,19970101,5,1,199701,1
24780,531,15.449444,36.647778,19970301,22,1,199701,1
24788,531,15.25,37.5,19970305,0,1,199701,1
24784,531,15.879722,38.026389,19970406,1,1,199702,1
20262,531,15.0,39.0,19970506,0,1,199702,1
24751,531,15.0,39.0,19990326,25,1,199901,1
24785,531,16.5,37.5,19991001,0,1,199904,1
24758,531,15.25,37.5,20030214,5,1,200301,1
24759,531,15.181667,37.074722,20030717,3,1,200303,1
24800,531,15.181667,37.074722,20030717,20,1,200303,1
20548,531,15.181667,37.074722,20030723,16,1,200303,1
24742,531,15.166667,37.333333,20030731,5,1,200303,1
24757,531,15.548611,37.886667,20030807,2,1,200303,1
24781,531,15.113889,37.592778,20030807,2,1,200303,1
24783,531,14.7275,37.803055,20030807,2,1,200303,1
24795,531,15.181667,37.074722,20030809,2,1,200303,1
34448,531,14.7275,37.803055,19980506,6,1,199802,1
71330,531,15.0,39.0,19980506,782,1,199802,1
34446,531,15.333333,38.933333,19980605,4,1,199802,1
34410,531,14.7275,37.803055,19990206,29,1,199901,1
34389,531,15.0,39.0,19990207,7,1,199901,1
34442,531,14.63528,38.83417,19990207,8,1,199901,1
34443,531,14.805277,39.099444,19990207,7,1,199901,1
34462,531,14.41679,39.278382,19990208,12,1,199901,1
34401,531,14.7275,37.803055,19990209,5,1,199901,1
34345,531,14.7275,37.803055,19990223,15000,1,199901,1
34340,531,14.7275,37.803055,19990228,108,1,199901,1
34370,531,14.918611,37.834722,19990228,1,1,199901,1
34397,531,14.41679,39.278382,19990314,2000,1,199901,1
34407,531,15.0,39.0,19990516,1,1,199902,1
34359,531,14.7275,37.803055,20000512,80,1,200002,1
34369,531,15.079444,39.741111,20000518,1,1,200002,1
34451,531,14.84444,39.37722,20000528,1000,1,200002,1
34440,531,15.11,36.6575,20000605,700,1,200002,1
34431,531,15.11,36.6575,20000610,6,1,200002,1
32277,531,14.74306,36.71917,20000610,6,1,200002,1
229161,531,14.41679,39.278382,20160612,25,1,201602,1
20485,531,15.333333,38.916667,20000512,0,3,200002,1
24821,531,15.333333,38.933333,20000512,0,3,200002,1
24777,531,15.777778,38.458056,20000512,0,3,200002,1
24824,531,15.333333,38.933333,20000518,0,3,200002,1
24762,531,14.7,40.9,20080101,0,3,200801,1
370840,530,13.56387,36.973604,20201103,200,1,202004,1
371338,530,13.49667,39.47528,20201103,3,1,202004,1
510463,530,13.5,39.5,20201103,19254,1,202004,1
484978,530,13.980309,36.854864,20201104,1,1,202004,1
485544,530,12.454523,39.726368,20201104,253,1,202004,1
485545,530,12.797859,39.64479,20201104,253,1,202004,1
382052,530,14.277,39.462,20201104,132,1,202004,1
383082,530,13.56387,36.973604,20201104,25,1,202004,1
383304,530,12.96033,39.52831,20201104,254,1,202004,1
383410,530,14.4368,38.636,20201104,50,1,202004,1
374795,530,13.5,39.5,20201104,3,1,202004,1
370947,530,13.343905,37.390407,20201104,48,1,202004,1
371058,530,14.395833,37.773056,20201104,2,1,202004,1
370932,530,12.681,37.242,20201106,5,1,202004,1
421140,530,14.071008,36.564681,20201106,1,1,202004,1
434266,530,13.637951,36.909008,20201106,2,1,202004,1
370942,530,13.4109,37.61684,20201107,6,1,202004,1
500929,530,13.5,39.666667,20201108,2,1,202004,1
371911,530,14.281766,36.610779,20201109,46,1,202004,1
371074,530,13.49667,39.47528,20201110,2,1,202004,1
371075,530,14.277,39.462,20201110,2,1,202004,1
371092,530,12.516632,37.431787,20201113,2,1,202004,1
421522,530,14.52194,39.385,20201113,2,1,202004,1
421549,530,12.932427,39.720831,20201113,11,1,202004,1
422380,530,14.341427,39.228984,20201114,15,1,202004,1
383102,530,12.444844,39.804452,20201114,21,1,202004,1
421544,530,14.494599,39.426264,20201115,7,1,202004,1
371104,530,13.49667,39.47528,20201116,2,1,202004,1
383305,530,14.166666,38.9,20201116,1,1,202004,1
383307,530,14.177523,39.561621,20201116,3,1,202004,1
375828,530,14.09964,38.27821,20201116,10,1,202004,1
386518,530,14.12972,38.71583,20201118,14,1,202004,1
